timestamp,messageType,eventType,visitNumber,interactionNumber,mazeNumber,attemptNumber,durationSeconds,totalGameElapsedTime,totalGameTime,collectedCoins,totalCoins,result,finalScore,startRoomDuration,startQuestionPanelDuration
2026-08-25 16:32:39.446,EVENT,START_ROOM_YES,,,,,,,,,,,,,
2026-08-25 16:32:39.637,EVENT,GAME_STARTED,,,,,,,,,,,,,
2026-08-25 16:32:39.639,EVENT,MAZE_STARTED,,,,,,,,,,,,,
2026-08-25 16:33:08.848,MAZE_VISIT,,1,,1,1,29.3986549,29.3986549,,5,10,SUCCESS,,12.5654621,0.0
2026-08-25 16:33:08.851,EVENT,MAZE_SUCCESS,,,,,,,,,,,,,
2026-08-25 16:33:08.867,EVENT,PANEL_OPENED_SUCCESS,,,,,,,,,,,,,
2026-08-25 16:33:18.860,EVENT,MAZE_STARTED,,,,,,,,,,,,,
2026-08-25 16:33:28.774,MAZE_VISIT,,2,,2,1,9.913509,49.3267059,,1,15,FAILED - EXIT,,12.5654621,0.0
2026-08-25 16:33:28.775,EVENT,MAZE_EXIT,,,,,,,,,,,,,
2026-08-25 16:33:28.796,EVENT,PANEL_OPENED_FINAL_GAME,,,,,,,,,,,,,
2026-08-25 16:33:28.799,EVENT,GAME_FINISHED_FAILED,,,,,,,,,,,,,
